id,title,original_title,production_countries,overview,tagline,release_date,original_language,genres,runtime,budget,revenue,cast,vote_average,director,keywords
567609,Noche de bodas,Ready or Not,['United States of America'],"Durante la noche de su boda, una mujer recibe la invitación por parte de la rica y excéntrica familia de su marido para participar en una tradición ancestral que se convierte en un juego letal de supervivencia.",Comienza el juego.,2019-08-21,en,"Terror, Comedia",95,6000000,57600000,"['Samara Weaving', 'Adam Brody', ""Mark O'Brien""]",7.0,Tyler Gillett,"['escape', 'ritual', 'marriage', 'satanism', 'gore', 'pact with the devil', 'wealth', 'murder', 'wedding', 'game', 'exploding body', 'wedding dress', 'satanic cult', 'death game', 'absurd', 'frightened', 'horrified']"
299534,Vengadores: Endgame,Avengers: Endgame,['United States of America'],"Después de los eventos devastadores de 'Vengadores: Infinity War', el universo está en ruinas debido a las acciones de Thanos. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles sean las consecuencias... Cuarta y última entrega de la saga ""Vengadores"".",Nada puede prepararte para el final.,2019-04-24,en,"Aventura, Ciencia ficción, Acción",181,356000000,2799439100,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",8.2,Anthony Russo,"['superhero', 'time travel', 'space travel', 'time machine', 'based on comic', 'sequel', 'alien invasion', 'superhero team', 'marvel cinematic universe (mcu)', 'alternate timeline', 'father daughter relationship', 'sister sister relationship', 'awestruck', 'excited', 'powerful', 'vibrant']"
299537,Capitana Marvel,Captain Marvel,['United States of America'],"La historia sigue a Carol Danvers mientras se convierte en uno de los héroes más poderosos del universo, cuando la Tierra se encuentra atrapada en medio de una guerra galáctica entre dos razas alienígenas. Situada en los años 90, 'Capitana Marvel' es una historia nueva de un período de tiempo nunca antes visto en la historia del Universo Cinematográfico de Marvel.",Más alto. Más lejos. Más rápido.,2019-03-06,en,"Acción, Aventura, Ciencia ficción",125,152000000,1131416446,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']",6.8,Ryan Fleck,"['superhero', 'based on comic', 'alien invasion', 'super power', 'female hero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'woman director', '1990s', 'alien technology', 'introspective', 'complicated']"
320288,X-Men: Fénix oscura,Dark Phoenix,['United States of America'],"Los X-Men se enfrentan a su enemigo más poderoso: uno de sus miembros, Jean Grey. Durante una misión de rescate en el espacio, Jean casi muere al ser alcanzada por una misteriosa fuerza cósmica. Cuando regresa a casa, esa radiación la ha hecho más poderosa, pero mucho más inestable. Mientras lucha con la entidad que habita en su interior, Jean desata sus poderes de formas que no puede controlar ni comprender. Jean cae en una espiral fuera de control haciendo daño a aquellos que más ama y empieza a destruir los lazos que mantienen unidos a los X-Men.",Ella resurgirá.,2019-06-05,en,"Ciencia ficción, Acción, Aventura",116,200000000,252442974,"['Sophie Turner', 'James McAvoy', 'Nicholas Hoult']",6.0,Simon Kinberg,"['superhero', 'mutant', 'telekinesis', 'based on comic', 'superhero team', '1990s', 'cosmic']"
515001,Jojo Rabbit,Jojo Rabbit,"['New Zealand', 'United States of America']","Jojo Rabbit es un niño viviendo en plena 2ª Guerra Mundial. Su única vía de escape es su amigo imaginario, una versión de Hitler étnicamente incorrecta que incita los ciegos ideales patrióticos del niño. Todo esto cambia cuando descubre que su madre Rosie está escondiendo a una joven judía en su ático.",Una sátira contra el odio.,2019-10-18,en,"Comedia, Bélica, Drama",108,14000000,82468705,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson']",8.0,Taika Waititi,"['based on novel or book', 'world war ii', 'jew persecution', 'affectation', 'satire', 'imaginary friend', 'hitler youth', 'single mother', 'nazism', '1940s', 'satirical', 'child protagonist', 'adolf hitler', 'children in wartime', 'lighthearted']"
537915,After: Aquí empieza todo,After,['United States of America'],"La joven Tessa Young cursa su primer año en la universidad. Acostumbrada a una vida estable y ordenada, su mundo cambia cuando conoce a Hardin Scott, un misterioso joven de oscuro pasado. Desde el primer momento se odian, porque pertenecen a dos mundos distintos y son completamente opuestos. Sin embargo, estos dos polos opuestos pronto se unirán y nada volverá a ser igual. Tessa y Hardin deberán enfrentarse a difíciles pruebas para estar juntos. La inocencia, el despertar a la vida, el descubrimiento sexual y las huellas de un amor tan poderoso como la fuerza del destino.","Después de la primera vez, nada es igual",2019-04-11,en,"Romance, Drama",106,14000000,69497587,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Shane Paul McGhie']",7.1,Jenny Gage,"['based on novel or book', 'love', 'teenage crush', 'teenage romance', 'bad boy', 'depressing', 'cliché']"
496243,Parásitos,기생충,['South Korea'],"Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.",Descubre al impostor.,2019-05-30,ko,"Comedia, Suspense, Drama",132,11363000,257591776,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",8.499,Bong Joon Ho,"['dark comedy', 'private lessons', 'birthday party', 'con artist', 'working class', 'psychological thriller', 'class differences', 'housekeeper', 'tutor', 'family', 'crime family', 'psychotic', 'criterion', 'unemployed', 'shocking', 'aggressive', 'wealthy family', 'south korea', 'seoul, south korea']"
166428,Cómo entrenar a tu dragón 3,How to Train Your Dragon: The Hidden World,['United States of America'],"Lo que comenzó como la inesperada amistad entre un joven vikingo y un temible dragón, Furia Nocturna,  se ha convertido en una épica trilogía que ha recorrido sus vidas. En esta nueva entrega, Hipo y Desdentao descubrirán finalmente su verdadero destino: para uno, gobernar Isla Mema junto a Astrid; para el otro, ser el líder de su especie. Pero, por el camino, deberán poner a prueba los lazos que los unen, plantando cara a la mayor amenaza que jamás haya afrontado... y a la aparición de una Furia Nocturna hembra.",Una amistad eterna.,2019-01-03,en,"Animación, Familia, Aventura",110,129000000,524580592,"['Jay Baruchel', 'America Ferrera', 'F. Murray Abraham']",7.749,Dean DeBlois,"['based on novel or book', 'flying', 'villain', 'vikings (norsemen)', 'sequel', 'overpopulation', 'dragon', 'love interest', ""based on children's book""]"
458156,John Wick: Capítulo 3 - Parabellum,John Wick: Chapter 3 - Parabellum,['United States of America'],"John Wick (Keanu Reeves) regresa a la acción, solo que esta vez con una recompensa de 14 millones de dólares sobre su cabeza y con un ejército de mercenarios intentando darle caza. Tras asesinar a uno de los miembros del gremio de asesinos al que pertenecía, Wick es expulsado de la organización, pasando a convertirse en el centro de atención de multitud de asesinos a sueldo que esperan detrás de cada esquina para tratar de deshacerse de él.",El período de gracia ha terminado.,2019-05-15,en,"Acción, Suspense, Crimen",131,55000000,326709727,"['Keanu Reeves', 'Halle Berry', 'Ian McShane']",7.4,Chad Stahelski,"['new york city', 'martial arts', 'bratva (russian mafia)', 'casablanca, morocco', 'secret society', 'morocco', 'secret organization', 'black humor', 'sahara desert', 'sequel', 'organized crime', 'one man army', 'consequences', 'professional assassin', 'desperate', 'baba yaga', 'dog man friendship']"
384018,Fast & Furious: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,['United States of America'],"Desde que Hobbs, agente del Servicio de Seguridad Diplomática de Estados Unidos, y el británico Shaw, proscrito sin ley, se enfrentaron por primera vez, solo han intercambiado bofetadas y malas palabras. Pero cuando las despiadadas acciones de Brixton, un anarquista cibergenéticamente mejorado, amenazan el futuro de la humanidad, ambos se unen para derrotarlo.",,2019-08-01,en,"Acción, Aventura, Comedia",137,200000000,760098996,"['Dwayne Johnson', 'Jason Statham', 'Idris Elba']",6.845,David Leitch,"['london, england', 'biological weapon', 'secret organization', 'family clan', 'spin off', 'family reunion', 'buddy comedy', 'samoa', 'aftercreditsstinger', 'duringcreditsstinger', 'buddy movie', 'mother son relationship', 'father daughter relationship', 'brother sister relationship']"
