id,title,original_title,production_countries,overview,release_date,original_language,genres,runtime,budget,revenue,cast,vote_average,director,keywords,main_country,overview_tokens,overview_lemmas,overview_lemmatized,keywords_tfidf,topic_id
10112,Los aristogatos,The Aristocats,['United States of America'],"1910. En París una anciana millonaria y excéntrica lleva una vida feliz con sus gatos en su enorme mansión, con la única ayuda de su fiel mayordomo Edgar. Allí, Duquesa vive despreocupadamente con sus tres traviesos cachorros, sin saber que Edgar planea acabar con todos los gatos para convertirse en el único heredero de la enorme fortuna de la anciana Madame Bonfamille. Con este propósito, los abandona en un lugar remoto, pero quiere la suerte que se encuentren con Thomas O’Malley, un atractivo gato vagabundo y mundano. Desde el principio, O’Malley, atraído por la elegancia de Duquesa, se propone ayudarla a regresar a casa de Madame Bonfamille, aunque para ello tenga que enfrentarse con todos los peligros de la gran ciudad. Afortunadamente, contarán también con la ayuda de Scat Cat y sus gatos swing, que añaden un toque de ritmo y diversión a la vida de Duquesa y de los cachorros.",1970-12-24,en,"['Animación', 'Comedia', 'Familia', 'Aventura']",78,4000000,191000000,"['Phil Harris', 'Eva Gabor', 'Sterling Holloway']",7.287,Wolfgang Reitherman,"['paris, france', 'return', 'butler', 'cartoon', 'villain', 'suspension', 'inheritance', 'cartoon cat', 'kitten', '1910s', 'greedy', 'cartoon animal', 'cartoon goose']",United States of America,"['parís', 'anciana', 'millonaria', 'excéntrica', 'lleva', 'vida', 'feliz', 'gatos', 'enorme', 'mansión', 'única', 'ayuda', 'fiel', 'mayordomo', 'edgar', 'allí', 'duquesa', 'vive', 'despreocupadamente', 'tres', 'traviesos', 'cachorros', 'saber', 'edgar', 'planea', 'acabar', 'gatos', 'convertirse', 'único', 'heredero', 'enorme', 'fortuna', 'anciana', 'madame', 'bonfamille', 'propósito', 'abandona', 'lugar', 'remoto', 'quiere', 'suerte', 'encuentren', 'thomas', 'malley', 'atractivo', 'gato', 'vagabundo', 'mundano', 'principio', 'malley', 'atraído', 'elegancia', 'duquesa', 'propone', 'ayudarla', 'regresar', 'casa', 'madame', 'bonfamille', 'aunque', 'ello', 'enfrentarse', 'peligros', 'gran', 'ciudad', 'afortunadamente', 'contarán', 'ayuda', 'scat', 'cat', 'gatos', 'swing', 'añaden', 'toque', 'ritmo', 'diversión', 'vida', 'duquesa', 'cachorros']","['parís', 'anciana', 'millonario', 'excéntrico', 'llevar', 'vida', 'feliz', 'gato', 'enorme', 'mansión', 'único', 'ayuda', 'fiel', 'mayordomo', 'edgar', 'allí', 'duquesa', 'vivir', 'despreocupadamente', 'tres', 'travieso', 'cachorro', 'saber', 'edgar', 'planea', 'acabar', 'gato', 'único', 'heredero', 'enorme', 'fortuna', 'anciano', 'madame', 'bonfamille', 'propósito', 'abandona', 'lugar', 'remoto', 'querer', 'suerte', 'encontrar', 'thoma', 'malley', 'atractivo', 'gato', 'vagabundo', 'mundano', 'principio', 'malley', 'atraído', 'elegancia', 'duqués', 'proponer', 'regresar', 'casa', 'madame', 'bonfamille', 'aunque', 'peligro', 'gran', 'ciudad', 'afortunadamente', 'contar', 'ayuda', 'scat', 'cat', 'gato', 'swing', 'añadir', 'toque', 'ritmo', 'diversión', 'vida', 'duquesar', 'cachorro']",parís anciana millonario excéntrico llevar vida feliz gato enorme mansión único ayuda fiel mayordomo edgar allí duquesa vivir despreocupadamente tres travieso cachorro saber edgar planea acabar gato único heredero enorme fortuna anciano madame bonfamille propósito abandona lugar remoto querer suerte encontrar thoma malley atractivo gato vagabundo mundano principio malley atraído elegancia duqués proponer regresar casa madame bonfamille aunque peligro gran ciudad afortunadamente contar ayuda scat cat gato swing añadir toque ritmo diversión vida duquesar cachorro,"['gato', 'enorme', 'único', 'ayuda', 'parís']",1
1685,Regreso al planeta de los simios,Beneath the Planet of the Apes,['United States of America'],"Una nueva nave procedente del espacio y del tiempo aterriza al mando del astronauta Brent, que acude en busca del desaparecido George Taylor. Vuelve a encontrarse con los simios que dominan el mundo, relegando a los humanos a la esclavitud. Sin embargo, con la ayuda de la doctora Zira seguirá las huellas de Taylor hasta la Zona Prohibida, en cuyas catacumbas, lo que son las ruinas del metro de Nueva York, encuentra a una raza humana mutante con poderes telepáticos.",1970-04-23,en,"['Aventura', 'Ciencia ficción', 'Misterio']",95,3000000,18999718,"['James Franciscus', 'Kim Hunter', 'Maurice Evans']",6.147,Ted Post,"['dystopia', 'mutant', 'distant future', 'astronaut', 'ape', 'worship']",United States of America,"['nueva', 'nave', 'procedente', 'espacio', 'tiempo', 'aterriza', 'mando', 'astronauta', 'brent', 'acude', 'busca', 'desaparecido', 'george', 'taylor', 'vuelve', 'encontrarse', 'simios', 'dominan', 'mundo', 'relegando', 'humanos', 'esclavitud', 'embargo', 'ayuda', 'doctora', 'zira', 'seguirá', 'huellas', 'taylor', 'zona', 'prohibida', 'cuyas', 'catacumbas', 'ruinas', 'metro', 'nueva', 'york', 'encuentra', 'raza', 'humana', 'mutante', 'poderes', 'telepáticos']","['nuevo', 'nave', 'procedente', 'espacio', 'tiempo', 'aterriza', 'mando', 'astronauta', 'brent', 'acudir', 'buscar', 'desaparecido', 'george', 'taylor', 'volver', 'simio', 'dominar', 'mundo', 'relegar', 'humano', 'esclavitud', 'embargo', 'ayuda', 'doctoro', 'zira', 'seguir', 'huella', 'taylor', 'zona', 'prohibido', 'cuyo', 'catacumba', 'ruina', 'metro', 'nueva', 'york', 'encuentra', 'raza', 'humano', 'mutante', 'poder', 'telepático']",nuevo nave procedente espacio tiempo aterriza mando astronauta brent acudir buscar desaparecido george taylor volver simio dominar mundo relegar humano esclavitud embargo ayuda doctoro zira seguir huella taylor zona prohibido cuyo catacumba ruina metro nueva york encuentra raza humano mutante poder telepático,"['humano', 'dominar', 'metro', 'prohibido', 'mando']",7
9062,Love Story,Love Story,['United States of America'],"Historia de amor de dos universitarios de Harvard que pertenecen a clases sociales muy distintas. Él, Oliver Barrett IV, es hijo de un poderoso banquero, mientras que el padre de Jenny es un humilde emigrante italiano. A pesar de ello, se enamoran, pero una enfermedad los enfrentará a algo mucho más grave que sus diferencias sociales.",1970-12-16,en,"['Romance', 'Drama']",99,2200000,136400000,"['Ali MacGraw', ""Ryan O'Neal"", 'John Marley']",6.821,Arthur Hiller,"['based on novel or book', 'harvard university', 'college', 'cancer', 'tragic love', 'class differences', 'string ensemble', 'telephone box', 'lapsed catholic', 'trying to get pregnant', 'snow angel', 'rich man poor woman', 'domineering', 'witty', 'depressing', 'romantic', 'authoritarian', 'condescending', 'disheartening']",United States of America,"['historia', 'amor', 'dos', 'universitarios', 'harvard', 'pertenecen', 'clases', 'sociales', 'distintas', 'oliver', 'barrett', 'hijo', 'poderoso', 'banquero', 'mientras', 'padre', 'jenny', 'humilde', 'emigrante', 'italiano', 'pesar', 'ello', 'enamoran', 'enfermedad', 'enfrentará', 'grave', 'diferencias', 'sociales']","['historia', 'amor', 'dos', 'universitario', 'harvard', 'pertenecer', 'clase', 'social', 'distinto', 'oliver', 'barrett', 'hijo', 'poderoso', 'banquero', 'mientras', 'padre', 'jenny', 'humilde', 'emigrante', 'italiano', 'pesar', 'enamorar', 'enfermedad', 'enfrentar', 'grave', 'diferencia', 'social']",historia amor dos universitario harvard pertenecer clase social distinto oliver barrett hijo poderoso banquero mientras padre jenny humilde emigrante italiano pesar enamorar enfermedad enfrentar grave diferencia social,"['social', 'distinto', 'universitario', 'diferencia', 'italiano']",6
11202,Patton,Patton,['United States of America'],"Biografía del general norteamericano George S. Patton, quien, tras vencer al mariscal alemán Rommel en el norte de África, condujo a sus tropas de manera imparable a través de Europa.",1970-01-25,en,"['Bélica', 'Drama', 'Historia']",172,12000000,89800000,"['George C. Scott', 'Stephen Young', 'Frank Latimore']",7.487,Franklin J. Schaffner,"['general', 'steel helmet', 'allies', 'world war ii', 'normandy, france', 'dead soldier', 'tank', 'biography', 'historical figure', 'd-day', 'destiny', 'thoughtful', 'dramatic', 'commanding']",United States of America,"['biografía', 'general', 'norteamericano', 'george', 'patton', 'tras', 'vencer', 'mariscal', 'alemán', 'rommel', 'norte', 'áfrica', 'condujo', 'tropas', 'manera', 'imparable', 'través', 'europa']","['biografía', 'general', 'norteamericano', 'george', 'patton', 'tras', 'vencer', 'mariscal', 'alemán', 'rommel', 'norte', 'áfrica', 'conducir', 'tropa', 'manero', 'imparable', 'través', 'europa']",biografía general norteamericano george patton tras vencer mariscal alemán rommel norte áfrica conducir tropa manero imparable través europa,"['vencer', 'conducir', 'norte', 'tropa', 'áfrica']",5
42589,"Hola, mamá","Hi, Mom!",['United States of America'],"John Rubin, un veterano de la guerra del Vietnam, vuelve a Nueva York y alquila un apartamento en el barrio de Greenwhich Village. Pronto comienza a filmar desde su casa a la gente de la calle, pero, además, tropieza con serios problemas por un asunto de terrorismo urbano.",1970-04-27,en,"['Comedia', 'Crimen']",88,0,0,"['Robert De Niro', 'Jennifer Salt', 'Allen Garfield']",6.293,Brian De Palma,"['new york city', 'pornography', 'black panther party', 'sequel', 'peeping tom']",United States of America,"['john', 'rubin', 'veterano', 'guerra', 'vietnam', 'vuelve', 'nueva', 'york', 'alquila', 'apartamento', 'barrio', 'greenwhich', 'village', 'pronto', 'comienza', 'filmar', 'casa', 'gente', 'calle', 'además', 'tropieza', 'serios', 'problemas', 'asunto', 'terrorismo', 'urbano']","['john', 'rubin', 'veterano', 'guerra', 'vietnam', 'vuelve', 'nueva', 'york', 'alquila', 'apartamento', 'barrio', 'greenwhich', 'village', 'pronto', 'comenzar', 'filmar', 'casa', 'gente', 'calle', 'además', 'tropezar', 'serio', 'problema', 'asunto', 'terrorismo', 'urbano']",john rubin veterano guerra vietnam vuelve nueva york alquila apartamento barrio greenwhich village pronto comenzar filmar casa gente calle además tropezar serio problema asunto terrorismo urbano,"['apartamento', 'vietnam', 'asunto', 'serio', 'vuelve']",7
651,M.A.S.H.,M*A*S*H,['United States of America'],"M.A.S.H. narra las aventuras de dos cirujanos del ejército destinados a una unidad móvil médica en Corea durante la guerra. Tanto ellos como su equipo de enfermeras se toman el trabajo muy en serio pero, en su tiempo libre, las bromas constantes y la ironía hacen más llevadera la situación.",1970-02-18,en,"['Comedia', 'Drama', 'Bélica']",120,3500000,81600000,"['Donald Sutherland', 'Elliott Gould', 'Tom Skerritt']",6.962,Robert Altman,"['american football', 'dark comedy', 'surgeon', 'american  way of life', 'korean war (1950-53)', 'military spoof', 'doctor', 'surgery', 'anti war', '1950s', 'korea']",United States of America,"['narra', 'aventuras', 'dos', 'cirujanos', 'ejército', 'destinados', 'unidad', 'móvil', 'médica', 'corea', 'guerra', 'equipo', 'enfermeras', 'toman', 'trabajo', 'serio', 'tiempo', 'libre', 'bromas', 'constantes', 'ironía', 'hacen', 'llevadera', 'situación']","['narrar', 'aventura', 'dos', 'cirujano', 'ejército', 'destinado', 'unidad', 'móvil', 'médico', 'corea', 'guerra', 'equipo', 'enfermera', 'tomar', 'trabajo', 'serio', 'tiempo', 'libre', 'broma', 'constante', 'ironía', 'hacer', 'llevadero', 'situación']",narrar aventura dos cirujano ejército destinado unidad móvil médico corea guerra equipo enfermera tomar trabajo serio tiempo libre broma constante ironía hacer llevadero situación,"['unidad', 'destinado', 'libre', 'serio', 'médico']",4
11916,Dos mulas y una mujer,Two Mules for Sister Sara,['United States of America'],"En México ha estallado la guerra entre los seguidores de Juárez y las tropas francesas del emperador Maximiliano de Austria. Hogan, un duro mercenario, salva a una monja del ataque de unos malhechores. Juntos emprenden un accidentado viaje en el que, a pesar de sus diferencias, quedará de manifiesto que tienen mucho en común.",1970-03-02,en,"['Western', 'Aventura', 'Romance']",116,2500000,5050000,"['Shirley MacLaine', 'Clint Eastwood', 'Manolo Fábregas']",7.0,Don Siegel,"['gunslinger', 'brothel', 'mexican revolution', 'treasure hunt', 'execution', 'attempted rape', 'disguise', 'illegal prostitution', 'civil war veteran', 'gringo', 'french army', 'military camp']",United States of America,"['méxico', 'estallado', 'guerra', 'seguidores', 'juárez', 'tropas', 'francesas', 'emperador', 'maximiliano', 'austria', 'hogan', 'duro', 'mercenario', 'salva', 'monja', 'ataque', 'malhechores', 'juntos', 'emprenden', 'accidentado', 'viaje', 'pesar', 'diferencias', 'quedará', 'manifiesto', 'común']","['méxico', 'estallado', 'guerra', 'seguidores', 'juárez', 'tropa', 'francés', 'emperador', 'maximiliano', 'austria', 'hogar', 'duro', 'mercenario', 'salva', 'monja', 'ataque', 'malhechor', 'junto', 'emprender', 'accidentado', 'viaje', 'pesar', 'diferencia', 'quedar', 'manifiesto', 'común']",méxico estallado guerra seguidores juárez tropa francés emperador maximiliano austria hogar duro mercenario salva monja ataque malhechor junto emprender accidentado viaje pesar diferencia quedar manifiesto común,"['francés', 'tropa', 'diferencia', 'mercenario', 'emperador']",8
9394,Le llamaban Trinidad,Lo chiamavano Trinità...,['Italy'],"Después de atravesar medio desierto, Trinidad, un tipo muy diestro con el revólver, descubre que su hermano mayor, otro granuja como él, es ahora el sheriff de un pequeño pueblo. Como no tiene nada urgente que hacer, decide quedarse a comer y descansar por algún tiempo.",1970-12-22,it,"['Acción', 'Comedia', 'Western']",109,0,0,"['Terence Hill', 'Bud Spencer', 'Steffen Zacharias']",7.549,Enzo Barboni,"['gunslinger', 'sheriff', 'saloon', 'brother', 'ranch', 'settler', 'fake identity', 'parody', 'slapstick comedy', 'drifter', 'cowboy', 'mormon', 'spaghetti western', 'identity theft']",Italy,"['después', 'atravesar', 'medio', 'desierto', 'trinidad', 'tipo', 'diestro', 'revólver', 'descubre', 'hermano', 'mayor', 'granuja', 'ahora', 'sheriff', 'pequeño', 'pueblo', 'urgente', 'hacer', 'decide', 'quedarse', 'comer', 'descansar', 'algún', 'tiempo']","['después', 'atravesar', 'medio', 'desierto', 'trinidad', 'tipo', 'diestro', 'revólver', 'descubrir', 'hermano', 'mayor', 'granuja', 'ahora', 'sheriff', 'pequeño', 'pueblo', 'urgente', 'hacer', 'decidir', 'comer', 'descansar', 'alguno', 'tiempo']",después atravesar medio desierto trinidad tipo diestro revólver descubrir hermano mayor granuja ahora sheriff pequeño pueblo urgente hacer decidir comer descansar alguno tiempo,"['atravesar', 'alguno', 'sheriff', 'desierto', 'tipo']",6
14676,Un hombre llamado Caballo,A Man Called Horse,"['Mexico', 'United States of America']","En 1825, un aristócrata inglés (Richard Harris) fue apresado y tratado como un esclavo por los indios sioux.",1970-05-01,en,"['Western', 'Drama']",114,0,0,"['Richard Harris', 'Jean Gascon', 'Judith Anderson']",6.457,Elliot Silverstein,"['ritual', 'native american', 'aristocrat', 'bear attack', 'sioux tribe', 'rite of passage', 'native american captive']",Mexico,"['aristócrata', 'inglés', 'richard', 'harris', 'apresado', 'tratado', 'esclavo', 'indios', 'sioux']","['aristócrata', 'inglés', 'richard', 'harris', 'apresado', 'tratado', 'esclavo', 'indio', 'sioux']",aristócrata inglés richard harris apresado tratado esclavo indio sioux,"['inglés', 'indio']",8
11165,Tora! Tora! Tora!,Tora! Tora! Tora!,"['Japan', 'United States of America']","Tora! Tora! Tora! es la señal japonesa para atacar. La película reproduce de manera meticulosa el ataque a Pearl Harbor y todos los hechos que le precedieron. Las primeras escenas nos muestran las diferencias entre ambas posturas: por una parte los imperialistas japoneses deciden realizar un ataque por etapas, por otro lado los altos mandos del ejército americano ignoran esta posibilidad. A pesar de que algunos mensajes interceptados a los japoneses advertían de este peligro, éstos nunca llegaron a las manos de la alta comandancia del ejército americano. Los avisos de los radares son ignorados, incluso la caza de un submarino japonés en Pearl Harbor antes del ataque no se reporta.",1970-01-26,en,"['Bélica', 'Historia', 'Drama']",144,25485000,37150000,"['Martin Balsam', 'Sō Yamamura', 'Jason Robards']",7.148,Richard Fleischer,"['japan', 'hawaii', 'world war ii', 'pearl harbor', 'u.s. navy', 'pacific war', 'soldier', 'japanese army', 'imperial japan', '1940s', 'dramatic', 'commanding']",Japan,"['tora', 'tora', 'tora', 'señal', 'japonesa', 'atacar', 'película', 'reproduce', 'manera', 'meticulosa', 'ataque', 'pearl', 'harbor', 'hechos', 'precedieron', 'primeras', 'escenas', 'muestran', 'diferencias', 'ambas', 'posturas', 'parte', 'imperialistas', 'japoneses', 'deciden', 'realizar', 'ataque', 'etapas', 'lado', 'altos', 'mandos', 'ejército', 'americano', 'ignoran', 'posibilidad', 'pesar', 'mensajes', 'interceptados', 'japoneses', 'advertían', 'peligro', 'éstos', 'nunca', 'llegaron', 'manos', 'alta', 'comandancia', 'ejército', 'americano', 'avisos', 'radares', 'ignorados', 'incluso', 'caza', 'submarino', 'japonés', 'pearl', 'harbor', 'ataque', 'reporta']","['toro', 'toro', 'toro', 'señal', 'japonés', 'atacar', 'película', 'reproducir', 'manera', 'meticuloso', 'ataque', 'pearl', 'harbor', 'hecho', 'preceder', 'primero', 'escena', 'mostrar', 'diferencia', 'ambos', 'postura', 'parte', 'imperialista', 'japonés', 'decidir', 'realizar', 'ataque', 'etapa', 'lado', 'alto', 'mando', 'ejército', 'americano', 'ignorar', 'posibilidad', 'pesar', 'mensaje', 'interceptado', 'japonés', 'advert', 'peligro', 'este', 'nunca', 'llegar', 'mano', 'alto', 'comandancia', 'ejército', 'americano', 'aviso', 'radar', 'ignorado', 'incluso', 'cazar', 'submarino', 'japonés', 'pearl', 'harbor', 'ataque', 'reporto']",toro toro toro señal japonés atacar película reproducir manera meticuloso ataque pearl harbor hecho preceder primero escena mostrar diferencia ambos postura parte imperialista japonés decidir realizar ataque etapa lado alto mando ejército americano ignorar posibilidad pesar mensaje interceptado japonés advert peligro este nunca llegar mano alto comandancia ejército americano aviso radar ignorado incluso cazar submarino japonés pearl harbor ataque reporto,"['japonés', 'ataque', 'americano', 'alto', 'ejército']",6
